file,toolchain,mode,build_cold_s,build_warm_s,size_bytes,run_s,vm_exit,bin_exit,output_match
tests/fixtures/syntax/return_in_loops.zz,base,default,4.695,0.063,25968,0.012,0,0,yes
tests/fixtures/syntax/return_in_loops.zz,base,p,2.240,0.062,22840,0.012,0,0,yes
tests/fixtures/syntax/return_in_loops.zz,new,default,1.451,0.064,168872,0.013,0,0,yes
tests/fixtures/syntax/return_in_loops.zz,new,p,2.687,0.062,18760,0.013,0,0,yes
tests/fixtures/syntax/question_operator_newline.zz,base,default,0.433,0,0,0,0,-1,build-fail
tests/fixtures/syntax/question_operator_newline.zz,base,p,0.452,0,0,0,0,-1,build-fail
tests/fixtures/syntax/question_operator_newline.zz,new,default,0.894,0,0,0,0,-1,build-fail
tests/fixtures/syntax/question_operator_newline.zz,new,p,0.878,0,0,0,0,-1,build-fail
tests/fixtures/syntax/string_blocks.zz,base,default,4.672,0.065,30232,0.013,0,0,yes
tests/fixtures/syntax/string_blocks.zz,base,p,2.486,0.068,26936,0.013,0,0,yes
tests/fixtures/syntax/string_blocks.zz,new,default,1.417,0.069,173264,0.013,0,0,yes
tests/fixtures/syntax/string_blocks.zz,new,p,2.707,0.064,18768,0.014,0,0,yes
tests/fixtures/syntax/main_entrypoint.zz,base,default,4.649,0.068,21784,0.013,0,0,yes
tests/fixtures/syntax/main_entrypoint.zz,base,p,2.026,0.067,22840,0.014,0,0,yes
tests/fixtures/syntax/main_entrypoint.zz,new,default,1.448,0.068,164056,0.014,0,0,yes
tests/fixtures/syntax/main_entrypoint.zz,new,p,2.652,0.064,18768,0.013,0,0,yes
tests/fixtures/syntax/match_guards.zz,base,default,4.679,0.067,21704,0.013,0,0,yes
tests/fixtures/syntax/match_guards.zz,base,p,2.025,0.119,22832,0.023,0,0,yes
tests/fixtures/syntax/match_guards.zz,new,default,1.453,0.068,163832,0.015,0,0,yes
tests/fixtures/syntax/match_guards.zz,new,p,2.613,0.062,18760,0.013,0,0,yes
tests/fixtures/types/structs.zz,base,default,4.616,0.065,25904,0.012,0,0,yes
tests/fixtures/types/structs.zz,base,p,2.093,0.068,22840,0.013,0,0,yes
tests/fixtures/types/structs.zz,new,default,1.465,0.070,168376,0.012,0,0,yes
tests/fixtures/types/structs.zz,new,p,2.649,0.068,18760,0.015,0,0,yes
tests/fixtures/types/type_inference.zz,base,default,4.679,0.065,34752,0.011,0,0,yes
tests/fixtures/types/type_inference.zz,base,p,3.195,0.062,47416,0.012,0,0,yes
tests/fixtures/types/type_inference.zz,new,default,1.463,0.063,173544,0.012,0,0,yes
tests/fixtures/types/type_inference.zz,new,p,2.744,0.068,22864,0.014,0,0,yes
tests/fixtures/types/generics.zz,base,default,4.716,0.065,39256,0.014,0,0,yes
tests/fixtures/types/generics.zz,base,p,3.583,0.064,31032,0.014,0,0,yes
tests/fixtures/types/generics.zz,new,default,1.510,0.066,183136,0.013,0,0,yes
tests/fixtures/types/generics.zz,new,p,2.917,0.067,26960,0.013,0,0,yes
tests/fixtures/types/generic_bounds.zz,base,default,4.759,0.071,43328,0.013,0,0,yes
tests/fixtures/types/generic_bounds.zz,base,p,3.718,0.068,31032,0.014,0,0,yes
tests/fixtures/types/generic_bounds.zz,new,default,1.463,0.066,182944,0.013,0,0,yes
tests/fixtures/types/generic_bounds.zz,new,p,3.001,0.066,31072,0.014,0,0,yes
tests/fixtures/types/variants.zz,base,default,4.883,0.067,30480,0.013,0,0,yes
tests/fixtures/types/variants.zz,base,p,2.259,0.061,22840,0.013,0,0,yes
tests/fixtures/types/variants.zz,new,default,1.451,0.067,174112,0.013,0,0,yes
tests/fixtures/types/variants.zz,new,p,2.702,0.060,18768,0.013,0,0,yes
tests/fixtures/stdlib/math_ops.zz,base,default,4.683,0.069,26664,0.015,0,0,yes
tests/fixtures/stdlib/math_ops.zz,base,p,2.192,0.067,22848,0.013,0,0,yes
tests/fixtures/stdlib/math_ops.zz,new,default,1.451,0.068,173192,0.014,0,0,yes
tests/fixtures/stdlib/math_ops.zz,new,p,2.630,0.068,18776,0.012,0,0,yes
tests/fixtures/stdlib/strings.zz,base,default,4.685,0.069,26600,0.012,0,0,yes
tests/fixtures/stdlib/strings.zz,base,p,2.621,0.071,31040,0.015,0,0,yes
tests/fixtures/stdlib/strings.zz,new,default,1.460,0.071,173128,0.016,0,0,yes
tests/fixtures/stdlib/strings.zz,new,p,2.889,0.068,22872,0.013,0,0,yes
tests/fixtures/stdlib/vectors.zz,base,default,4.735,0.075,43528,0.012,0,0,yes
tests/fixtures/stdlib/vectors.zz,base,p,3.993,0.069,55624,0.015,0,0,yes
tests/fixtures/stdlib/vectors.zz,new,default,1.481,0.075,182456,0.014,0,0,yes
tests/fixtures/stdlib/vectors.zz,new,p,2.971,0.073,26976,0.014,0,0,yes
tests/fixtures/stdlib/time_ops.zz,base,default,4.669,0.071,26168,0.022,0,0,yes
tests/fixtures/stdlib/time_ops.zz,base,p,2.060,0.068,22856,0.024,0,0,yes
tests/fixtures/stdlib/time_ops.zz,new,default,1.447,0.072,168248,0.023,0,0,yes
tests/fixtures/stdlib/time_ops.zz,new,p,2.671,0.073,18784,0.024,0,0,yes
tests/fixtures/stdlib/encoding_test.zz,base,default,4.826,0.072,43720,0.013,0,0,NO(exit=0)
tests/fixtures/stdlib/encoding_test.zz,base,p,4.007,0.079,59720,0.015,0,0,NO(exit=0)
tests/fixtures/stdlib/encoding_test.zz,new,default,1.462,0.075,188104,0.013,0,0,NO(exit=0)
tests/fixtures/stdlib/encoding_test.zz,new,p,3.320,0.071,35168,0.014,0,0,NO(exit=0)
tests/fixtures/stdlib/console.zz,base,default,4.681,0.067,21768,0.013,0,0,yes
tests/fixtures/stdlib/console.zz,base,p,2.083,0.068,22840,0.013,0,0,yes
tests/fixtures/stdlib/console.zz,new,default,1.554,0.066,163856,0.013,0,0,yes
tests/fixtures/stdlib/console.zz,new,p,2.805,0.067,18768,0.011,0,0,yes
